fs_recode,laptop_recode,VEH,english_hh,single_parent,nonfamily,HINCP,HUGCL,children,good_english_speaker,multigen,NR,unmarried_partner,samesex_marriage,tenure_own
0.0,1.0,2.0,1.0,0.0,0.0,232000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,2.0,1.0,0.0,1.0,70730.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,37000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,140000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,12000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,34000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,37000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,3.0,1.0,0.0,0.0,239600.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,1.0,87000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,162300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,26550.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,83000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,3.0,1.0,1.0,0.0,131000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,25000.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,43500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.0,1.0,1.0,0.0,85000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,3.0,0.0,0.0,0.0,106710.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,26600.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,5.0,0.0,0.0,0.0,68000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,0.0,119200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,95000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,136000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
